city, county, latitude, longitude
Millstadt Junction, Monroe, 382742N, 0901304W
Boulder, Clinton, 384148N, 0891332W
Millville, Jo Daviess, 422656N, 0900305W
Bourbon, Douglas, 394444N, 0882244W
Millville, Macoupin, 390325N, 0895613W
Bourbonnais, Kankakee, 410830N, 0875230W
Milmine, Piatt, 395427N, 0883901W
Bowen, Hancock, 401400N, 0910345W
Milne, Shelby, 391547N, 0884732W
Bowes, Kane, 420029N, 0882327W
Milo, Bureau, 411133N, 0893456W
Bowman, Jersey, 390815N, 0901440W
Milroy, Henderson, 410107N, 0905515W
Bowman Ford, Cumberland, 391558N, 0880938W
Milton, Pike, 393352N, 0903901W
Boyd, Jefferson, 382449N, 0890048W
Mindale, Tazewell, 402533N, 0892211W
Boyd Ford, Coles, 393638N, 0880415W
Mineral, Bureau, 412257N, 0895011W
Boyle, Greene, 391700N, 0903438W
Minier, Tazewell, 402601N, 0891847W
Boyleston, Wayne, 382141N, 0882633W
Minonk, Woodford, 405416N, 0890204W
Boynton, Tazewell, 402108N, 0892607W
Minooka, Grundy, 412719N, 0881542W
Braceville, Grundy, 411337N, 0881553W
Mira, Champaign, 400502N, 0880944W
Bradbury, Cumberland, 391927N, 0881434W
Missa, Livingston, 410554N, 0884432W
Braden, Hamilton, 375947N, 0883658W
Missionfield, Vermilion, 400617N, 0874513W
Bradford, Stark, 411038N, 0893927W
Mitchell, Franklin, 375508N, 0890246W
Bradfordton, Sangamon, 394924N, 0894422W
Mitchell, Madison, 384543N, 0900507W
Bradley, Kankakee, 410831N, 0875140W
Mitchellsville, Saline, 373902N, 0883216W
Braeside, Cook, 420909N, 0874620W
Mitchie, Monroe, 381237N, 0902000W
Braeside, Lake, 420909N, 0874620W
Moccasin, Effingham, 390850N, 0884528W
Braidwood, Will, 411554N, 0881244W
Mode, Shelby, 391559N, 0884401W
Breckenridge, Hancock, 401437N, 0911711W
Modena, Stark, 410807N, 0894547W
Breckenridge, Sangamon, 394156N, 0892651W
Modesto, Macoupin, 392842N, 0895855W
Breeds, Fulton, 403319N, 0895513W
Modoc, Randolph, 380309N, 0900214W
Breese, Clinton, 383638N, 0893137W
Moellenbrocks, Madison, 384223N, 0900420W
Bremen, Jo Daviess, 422402N, 0902449W
Mokena, Will, 413134N, 0875321W
Bremen, Randolph, 375816N, 0894450W
Moline, Rock Island, 413024N, 0903054W
Brereton, Fulton, 403639N, 0900133W
Momence, Kankakee, 411000N, 0873946W
Briar Bluff, Henry, 412735N, 0902148W
Monaville, Lake, 422358N, 0880641W
Bridgeport, Lawrence, 384221N, 0874536W
Monee, Lake, 412512N, 0874430W
Bridgeview, Cook, 414500N, 0874815W
Monica, Stark, 405525N, 0894923W
Bridgeway Addition, Rock Island, 412824N, 0903015W
Monmouth, Warren, 405441N, 0903850W
Briergate, Lake, 421034N, 0874853W
Monroe Center, Ogle, 420554N, 0890002W
Brighton, Macoupin, 390223N, 0900826W
Monroe City, Monroe, 381521N, 0901557W
Brimfield, Peoria, 405020N, 0895311W
Mont, Madison, 384602N, 0895549W
Brisbane, Will, 412933N, 0875728W
Monterey, Fulton, 403152N, 0895645W
Bristol, Kendall, 414108N, 0882541W
Montezuma, Pike, 393307N, 0903447W
Broadlands, Champaign, 395431N, 0875939W
Montgomery, Kane, 414350N, 0882045W
Broadmoor, Stark, 410844N, 0893743W
Monticello, Piatt, 400140N, 0883424W
Broadview, Cook, 415150N, 0875112W
Montrose, Effingham, 390955N, 0882245W
Broadwell, Logan, 400405N, 0892635W
Moon, Livingston, 410404N, 0885121W
Brock Landing, Calhoun, 385324N, 0903151W
Moonshine, Clark, 391126N, 0875344W
Brocton, Edgar, 394256N, 0875557W
Moores Corner, Vermilion, 401559N, 0873907W
Brokaw, Mclean, 402704N, 0885409W
Mooseheart, Kane, 414926N, 0882005W
Bronson, Vermilion, 400654N, 0874819W
Morea, Crawford, 385536N, 0873756W
Brookfield, Cook, 414926N, 0875106W
Morehaven, Winnebago, 422528N, 0890124W
Brooklyn, St Clair, 383931N, 0900957W
Moriah, Clark, 391302N, 0875622W
Brooklyn, Schuyler, 401333N, 0904547W
Moro, Madison, 385529N, 0900119W
Brookport, Massac, 370725N, 0883749W
Moronts, Putnam, 411710N, 0891740W
Brooks, Madison, 384627N, 0900524W
Morreville, Brown, 395101N, 0904801W
Brookville, Ogle, 420255N, 0894102W
Morris, Grundy, 412126N, 0882516W
Brookville, Vermilion, 400353N, 0873623W
Morrison, Whiteside, 414835N, 0895754W
Brothers, Vermilion, 400840N, 0874831W
Morrisonville, Christian, 392512N, 0892720W
Broughton, Hamilton, 375605N, 0882743W
Morristown, Henry, 412347N, 0901755W
Brownfield, Pope, 372044N, 0883625W
Morristown, Winnebago, 421021N, 0890401W
Browning, Schuyler, 400744N, 0902219W
Morse, Stark, 411349N, 0893842W
Browns, Edwards, 382237N, 0875859W
Morseville (Plum River), Jo Daviess, 421820N, 0895845W
Browns Crossing, Morgan, 394326N, 0895902W
Mortimer, Edgar, 395119N, 0874328W
Browns Crossing, Sangamon, 394326N, 0895902W
Morton, Tazewell, 403646N, 0892733W
Browns Mill, Stephenson, 421656N, 0893115W
Morton Grove, Cook, 420226N, 0874657W
Brownstown, Fayette, 385945N, 0885710W
Moscow, Union, 372441N, 0890309W
Brownsville, White, 380229N, 0881441W
Mossville, Peoria, 404856N, 0893404W
Brownton, Morgan, 394549N, 0901128W
Mound City, Pulaski, 370507N, 0890945W
Brownwood, Tazewell, 402346N, 0892829W
Mound Station Timewell P, Brown, 400028N, 0905225W
Brubaker, Marion, 384135N, 0885235W
Mounds, Pulaski, 370651N, 0891152W
Bruce, Moultrie, 393108N, 0883540W
Mount Auburn, Christian, 394558N, 0891542W
Brunkhorst Landing, Jackson, 374154N, 0893105W
Mount Carbon, Jackson, 374507N, 0891916W
Brussels, Calhoun, 385658N, 0903519W
Mount Carmel, Wabash, 382439N, 0874541W
Bryant, Fulton, 402758N, 0900530W
Mount Carroll, Carroll, 420542N, 0895841W
Bryce, Iroquois, 403804N, 0874524W
Mount Clare, Macoupin, 390555N, 0894934W
Buckhart, Sangamon, 394459N, 0892641W
Mount Erie, Wayne, 383054N, 0881352W
Buckhorn, Brown, 395612N, 0905009W
Mount Joy, Logan, 401712N, 0891655W
Buckhorn Corners, Stephenson, 422529N, 0893818W
Mount Morris, Ogle, 420301N, 0892552W
Buckingham, Kankakee, 410249N, 0881031W
Mount Olive, Macoupin, 390420N, 0894338W
Buckley, Iroquois, 403549N, 0880217W
Mount Palatine, La Salle, 411133N, 0890947W
Buckner, Franklin, 375859N, 0890058W
Mount Pleasant, Union, 372707N, 0890425W
Bucks, De Witt, 401554N, 0885812W
Mount Prospect, Cook, 420359N, 0875614W
Bucktown, Vermilion, 400648N, 0874441W
Mount Pulaski, Logan, 400039N, 0891656W
Buda, Bureau, 411934N, 0894044W
Mount Sterling, Brown, 395914N, 0904548W
Budd, Livingston, 410556N, 0883723W
Mount Vernon, Jefferson, 381902N, 0885411W
Buena Vista, Saline, 374418N, 0883434W
Mount Zion, Macon, 394617N, 0885227W
Buena Vista, Stephenson, 422532N, 0894040W
Mountain Glen, Union, 373139N, 0891723W
Buffalo, Sangamon, 395109N, 0892431W
Moweaqua, Shelby, 393729N, 0890108W
Buffalo Grove, Cook, 420905N, 0875735W
Mozier, Calhoun, 391733N, 0904457W
Buffalo Hart, Sangamon, 395450N, 0892651W
Mozier Landing, Calhoun, 391520N, 0904333W
Buffalo Prairie, Rock Island, 412018N, 0905117W
Mudds Landing, Randolph, 380033N, 0900313W
Bulldog Crossing, Macon, 394744N, 0890045W
Muddy, Saline, 374554N, 0883100W
Bulpitt, Christian, 393530N, 0892526W
Mulberry Grove, Bond, 385530N, 0891608W
Buncombe, Johnson, 372817N, 0885837W
Mulkeytown, Franklin, 375815N, 0890641W
Bungay, Hamilton, 381045N, 0882431W
Muncie, Vermilion, 400656N, 0875041W
Bunje, Bond, 385933N, 0893528W
Mundelein, Lake, 421547N, 0880014W
Bunker Hill, Macoupin, 390234N, 0895706W
Munger, Du Page, 415752N, 0881322W
Bunkum, St Clair, 383715N, 0900241W
Munger, Pike, 394526N, 0911919W
Bureau, Bureau, 411721N, 0892159W
Munstel, Livingston, 410620N, 0885410W
Burgess, Mercer, 410738N, 0903829W
Murdock, Douglas, 394803N, 0880442W
Burke, Carroll, 420304N, 0900212W
Murphysboro, Jackson, 374552N, 0892006W
Burksville, Monroe, 381602N, 0900909W
Murrayville, Morgan, 393508N, 0901507W
Burlingame, Cass, 395525N, 0900948W
Mylith Park, Lake, 421551N, 0881130W
Burlington, Kane, 420310N, 0883253W
Myrtle, Ogle, 421005N, 0892124W
Burnett, Bureau, 411638N, 0893949W
Nachusa, Lee, 414953N, 0892323W
Burnham, Cook, 413820N, 0873324W
Nameoki, Madison, 384354N, 0900740W
Burns, Mclean, 402401N, 0885842W
Naperville, Du Page, 414709N, 0880850W
Burnside, Cook, 414313N, 0873553W
Naplate, La Salle, 412001N, 0885241W
Burnside, Hancock, 403014N, 0910600W
Naples, Scott, 394526N, 0903626W
Burnside, Knox, 404610N, 0901624W
Narita, Logan, 395859N, 0891308W
Burnt Prairie, White, 381506N, 0881541W
Nashville, Washington, 382037N, 0892250W
Burr Ridge, Du Page, 414456N, 0875506W
Nason, Jefferson, 381034N, 0885803W
Burrowsville, Macon, 394758N, 0883759W
National City, St Clair, 383844N, 0900939W
Burt, Tazewell, 402017N, 0892206W
Natrona, Mason, 401615N, 0893756W
Burton, Adams, 395417N, 0911456W
Nauvoo, Hancock, 403300N, 0912305W
Burton View, Logan, 401015N, 0892905W
Neadmore, Clark, 391457N, 0875137W
Burtons Bridge, McHenry, 421647N, 0881344W
Neal, Cumberland, 391807N, 0882030W
Busenville, Vermilion, 395914N, 0874032W
Nebo, Pike, 392633N, 0904727W
Bush, Williamson, 375036N, 0890752W
Neelyville PO, Morgan, 394523N, 0902835W
Bushnell, Mcdonough, 403310N, 0903022W
Neilson, Williamson, 373749N, 0885738W
Bushton, Coles, 393532N, 0880819W
Nekoma, Henry, 411022N, 0901119W
Butler, Montgomery, 391158N, 0893202W
Nelson, Lee, 414747N, 0893606W
Bybee, Fulton, 403552N, 0901105W
Neoga, Cumberland, 391910N, 0882710W
Byron, Ogle, 420737N, 0891520W
Neponset, Bureau, 411745N, 0894725W
Caber, Ford, 405945N, 0881219W
Nettle Creek, Grundy, 412633N, 0883441W
Caber, Kankakee, 405945N, 0881219W
Neunert, Jackson, 374322N, 0893244W
Cable, Mercer, 411702N, 0903026W
Nevada, Livingston, 410509N, 0883305W
Cache, Alexander, 370600N, 0891541W
Nevins, Edgar, 393202N, 0873819W
Cadiz, Hardin, 373445N, 0881335W
New Athens, St Clair, 381935N, 0895237W
Cadwell, Moultrie, 394052N, 0883118W
New Badan, Clinton, 383206N, 0894202W
Cahokia, St Clair, 383415N, 0901124W
New Bedford, Bureau, 413046N, 0894314W
Cairo, Alexander, 370019N, 0891035W
New Berlin, Sangamon, 394331N, 0895438W
Cairo Junction, Alexander, 370227N, 0891130W
New Boston, Mercer, 411013N, 0905948W
Caldwell, Tazewell, 403832N, 0893056W
New Burnside, Johnson, 373445N, 0884615W
Caledonia, Boone, 422210N, 0885333W
New Canton, Pike, 393810N, 0910545W
Caledonia Landing, Pulaski, 371045N, 0890419W
New City, Sangamon, 394013N, 0893207W
Calhoun, Richland, 383901N, 0880237W
New Columbia, Massac, 371838N, 0884631W
Calloway, Christian, 393344N, 0892119W
New Dennison, Williamson, 374134N, 0885120W
Calumet City, Cook, 413656N, 0873146W
New Design, Monroe, 381605N, 0900706W
Calumet Park, Cook, 413946N, 0873938W
New Douglas, Madison, 385812N, 0893959W
Calvin, White, 381229N, 0880107W
New Grand Chain (Grand C, Pulaski, 371507N, 0890116W
Camargo, Douglas, 394801N, 0880950W
New Hanover, Monroe, 382312N, 0901338W
Cambon, Franklin, 375358N, 0885953W
New Hartford, Pike, 393432N, 0905436W
Cambria, Williamson, 374653N, 0890709W
New Haven, Gallatin, 375431N, 0880745W
Cambridge, Henry, 411813N, 0901134W
New Hebron, Crawford, 385700N, 0874440W
Camden, Schuyler, 400913N, 0904614W
New Holland, Logan, 401105N, 0893451W
Cameron, Warren, 405320N, 0903102W
New Hope, Williamson, 374738N, 0884120W
Camp Algonquin, McHenry, 421059N, 0881604W
New Lebanon, De Kalb, 420556N, 0883611W
Camp Ground, Jefferson, 382020N, 0885006W
New Lenox, Will, 413043N, 0875756W
Camp Grove, Marshall, 410444N, 0893759W
New Liberty, Pope, 370719N, 0882652W
Camp Point, Adams, 400221N, 0910409W
New Memphis, Clinton, 382845N, 0894042W
Camp Travis, Clay, 383936N, 0881953W
New Memphis, Clinton, 382729N, 0894036W
Campbell, Vermilion, 401128N, 0873446W
New Milford, Winnebago, 421113N, 0890404W
Campbell Hill, Jackson, 375548N, 0893256W
New Minden, Washington, 382629N, 0892213W
Campus, Livingston, 410124N, 0881822W
New Palestine, Randolph, 375947N, 0894914W
Canton, Fulton, 403329N, 0900206W
New Philadelphia, McDonough, 402922N, 0902820W
Cantrall, Sangamon, 395616N, 0894033W
New Philadelphia, Pike, 394140N, 0905730W
Cantrall, Sangamon, 395057N, 0891641W
New Salem, Pike, 394227N, 0905051W
Capron, Boone, 422359N, 0884425W
New Windsor (Windsor), Mercer, 411208N, 0902632W
Carbon, St Clair, 383538N, 0895621W
Newark, Kendall, 413213N, 0883500W
Carbon Cliff, Rock Island, 412941N, 0902326W
Newbern, Jersey, 390025N, 0902013W
Carbon Hill, Grundy, 411749N, 0881800W
Newburg, Macon, 395852N, 0884814W
Carbondale, Jackson, 374338N, 0891300W
Newby, Coles, 392627N, 0881905W
Cardiff, Livingston, 410306N, 0881714W
Newcastle, Saline, 373902N, 0884017W
Carle Springs, De Witt, 401513N, 0885801W
Newell, Vermilion, 400947N, 0873501W
Carlinville, Macoupin, 391647N, 0895254W
Newman, Douglas, 394755N, 0875909W
Carlock, Mclean, 403456N, 0890755W
Newmansville, Cass, 400012N, 0900042W
Carlsburg, Macoupin, 390500N, 0894320W
Newport, Madison, 384051N, 0901033W
Carlyle, Clinton, 383637N, 0892221W
Newton, Jasper, 385927N, 0880945W
Carman, Henderson, 404426N, 0910334W
Newton Corners, Whiteside, 414411N, 0900659W
Carmi, White, 380527N, 0880931W
Newtown, Vermilion, 401002N, 0874609W
Carol Stream, Du Page, 415445N, 0880805W
Niantic, Christian, 395114N, 0890958W
Carpenter, Madison, 385331N, 0895339W
Niles, Cook, 420108N, 0874810W
Carpentersville, Cook, 420716N, 0881528W
Nilwood, Macoupin, 392353N, 0894831W
Carpentersville, Kane, 420716N, 0881528W
Niota, Hancock, 403703N, 0911716W
Carrier Mills, Saline, 374103N, 0883758W
Nipper Corner, Hamilton, 380219N, 0882813W
Carrollton, Greene, 391808N, 0902425W
Noble, Richland, 384151N, 0881325W
Carterville, Williamson, 374536N, 0890438W
Nokomis, Montgomery, 391804N, 0891706W
Carthage, Hancock, 402459N, 0910810W
Noltings, Washington, 382916N, 0891157W
Carthage, Ogle, 415508N, 0891849W
Nora, Jo Daviess, 422721N, 0895643W
Carthage Lake, Henderson, 404726N, 0910431W
Normal, Mclean, 403051N, 0885926W
Cartter, Marion, 383228N, 0885444W
Normandy, Bureau, 413343N, 0893857W
Cary, McHenry, 421243N, 0881417W
Normantown, Will, 413917N, 0881356W
Cascade, Sangamon, 394013N, 0892931W
Norridge, Cook, 415748N, 0874938W
Casey, Clark, 391757N, 0875933W
Norris, Fulton, 403733N, 0900155W
Caseyville, St Clair, 383812N, 0900132W
Norris City, White, 375852N, 0881945W
Casner, Macon, 394801N, 0884728W
North Alton, Madison, 385520N, 0901147W
Cass, Cass, 395805N, 0901609W
North Aurora, Kane, 414822N, 0881938W
Castle Fin, Clark, 392812N, 0874400W
North Barrington, Lake, 421228N, 0880826W
Castle Junction, Rock Island, 412333N, 0903440W
North Chicago, Lake, 421932N, 0875028W
Castleton, Stark, 410704N, 0894222W
North Chillicothe, Peoria, 405551N, 0893005W
Catharine, La Salle, 413123N, 0884309W
North Dupo, St Clair, 383258N, 0901202W
Catlin, Vermilion, 400354N, 0874207W
North Glen Ellyn, Du Page, 415331N, 0880347W
Caton Farm, Will, 413355N, 0881421W
North Hampton, Peoria, 405552N, 0893220W
Cave in Rock, Hardin, 372809N, 0880959W
North Hanover, Jo Daviess, 421737N, 0901643W
Cayuga, Livingston, 405628N, 0883501W
North Henderson, Mercer, 410521N, 0902831W
Cazenovia, Woodford, 405101N, 0891955W
North Hooper, Iroquois, 405702N, 0873625W
Cedar Park, Madison, 384520N, 0900614W
North Mounds, Pulaski, 370723N, 0891201W
Cedar Point, La Salle, 411547N, 0890732W
North Northfield, Cook, 420818N, 0875253W
Cedarville, Stephenson, 422233N, 0893759W
North Park, Winnebago, 422034N, 0890307W
Center Hill, Carroll, 420451N, 0900246W
North Pekin, Tazewell, 403654N, 0893720W
Centerville, Calhoun, 385549N, 0903418W
North Plato, Kane, 420318N, 0882751W
Centerville, Knox, 410352N, 0900315W
North Quincy, Adams, 395814N, 0912346W
Centerville, Macoupin, 390603N, 0895841W
North Riverside, Cook, 415034N, 0874923W
Centerville, Piatt, 400724N, 0882946W
North Shore, McHenry, 421424N, 0882141W
Centerville, White, 381202N, 0880958W
North Venice, Madison, 384051N, 0900959W
Central, Kendall, 412826N, 0882602W
Northbrook, Cook, 420739N, 0874944W
Central City, Grundy, 411416N, 0881654W
Northfield, Cook, 420559N, 0874651W
Central City, Marion, 383256N, 0890737W
Northlake, Cook, 415502N, 0875344W
Centralia, Marion, 383130N, 0890800W
Northville, La Salle, 413348N, 0884219W
Centreville, St Clair, 383500N, 0900730W
Nortonville, Morgan, 393344N, 0900823W
Cereal, Livingston, 404230N, 0882104W
Norway, La Salle, 412756N, 0883952W
Cerro Gordo, Piatt, 395326N, 0884341W
Norwood, Mercer, 410521N, 0903817W
Chadwick, Carroll, 420048N, 0895326W
Norwood Park, Peoria, 404220N, 0894155W
Chalfin Bridge, Monroe, 381243N, 0901607W
Nottingham Woods, Kane, 414947N, 0882755W
Challacombe, Macoupin, 391306N, 0900716W
Novak Park, Kane, 415732N, 0881904W
Chambersburg, Pike, 394902N, 0903926W
Nutwood, Jersey, 390505N, 0903321W
Champaign, Champaign, 400659N, 0881436W
O'Fallon, St Clair, 383532N, 0895440W
Champlin, Livingston, 404659N, 0883245W
Oak, Pope, 373435N, 0883104W
Chana, Ogle, 415850N, 0891311W
Oak Brook, Du Page, 414958N, 0875544W
Chandlerville, Cass, 400253N, 0900918W
Oak Forest, Cook, 413610N, 0874438W
Channahon, Will, 412546N, 0881343W
Oak Grove, Lake, 421747N, 0875500W
Chapin, Morgan, 394557N, 0902356W
Oak Grove, Rock Island, 412438N, 0903414W
Chapman, Montgomery, 390620N, 0891901W
Oak Hill, Peoria, 404715N, 0895159W
Charleston, Coles, 392946N, 0881034W
Oak Hills, St Clair, 383817N, 0895850W
Charlotte, Livingston, 404911N, 0881720W
Oak Lawn, Cook, 414315N, 0874515W
Charter Grove, De Kalb, 420359N, 0883753W
Oak Park, Cook, 415306N, 0874704W
Chatham, Sangamon, 394034N, 0894216W
Oak Ridge, Woodford, 404841N, 0892615W
Chatsworth, Livingston, 404513N, 0881731W
Oakbrook Terrace, Du Page, 415100N, 0875752W
Chatton, Adams, 400903N, 0910158W
Oakdale, Washington, 381542N, 0893005W
Chauncey, Lawrence, 385007N, 0875215W
Oakford, Menard, 400609N, 0895747W
Chautauqua, Jersey, 385752N, 0902308W
Oakglen, Cook, 413347N, 0873330W
Chautauqua Park, Mason, 401922N, 0900307W
Oakland, Coles, 393914N, 0880134W
Chebanse, Iroquois, 410011N, 0875429W
Oakland Center, Schuyler, 401402N, 0903030W
Chebanse, Kankakee, 410011N, 0875429W
Oakley, Macon, 395234N, 0884821W
Checkrow, Fulton, 403315N, 0902241W
Oakwood, Vermilion, 400658N, 0874642W
Chemung, McHenry, 422455N, 0884000W
Oakwood Heights, Madison, 385254N, 0900406W
Cheneyville, Vermilion, 402809N, 0873505W
Oakwood Hills, McHenry, 421447N, 0881434W
Chenoa, Mclean, 404430N, 0884311W
Obed, Shelby, 393355N, 0885409W
Cherry, Bureau, 412537N, 0891248W
Oblong, Crawford, 390007N, 0875432W
Cherry Hill, Will, 413124N, 0880052W
Oconee, Shelby, 391708N, 0890627W
Cherry Point, Edgar, 394757N, 0874316W
Ocoya, Livingston, 404818N, 0884102W
Cherry Valley, Winnebago, 421405N, 0885656W
Odell, Livingston, 410013N, 0883131W
Cherwood Ford, Cumberland, 391207N, 0881248W
Odgen, Wabash, 382707N, 0874937W
Chester, Randolph, 375449N, 0894919W
Odin, Marion, 383702N, 0890308W
Chesterfield, Macoupin, 391518N, 0900347W
Ogden, Champaign, 400650N, 0875722W
Chesterfield, Macoupin, 391452N, 0900353W
Ogle, Mercer, 410626N, 0905301W
Chestervale, Logan, 400532N, 0891918W
Ogles, St Clair, 383248N, 0900317W
Chesterville, Douglas, 394212N, 0882328W
Oglesby, La Salle, 411743N, 0890334W
Chestline, Adams, 395041N, 0905735W
Ohio, Bureau, 413327N, 0892739W
Chestnut, Logan, 400313N, 0891107W
Ohlman, Montgomery, 392042N, 0891307W
Chicago, Cook, 415100N, 0873900W
Oil Center, Crawford, 385805N, 0874958W
Chicago Heights, Cook, 413022N, 0873808W
Oil Grove, Crawford, 385146N, 0873830W
Chicago Ridge, Cook, 414205N, 0874645W
Oilfield, Clark, 392338N, 0875919W
Chili, Hancock, 401304N, 0910829W
Okawville, Washington, 382603N, 0893301W
Chillicothe, Peoria, 405520N, 0892910W
Old Brownfield, Pope, 372132N, 0883547W
Chinatown, Madison, 384337N, 0895649W
Old Du Quoin, Perry, 375830N, 0891059W
Chipps, Moultrie, 393759N, 0883452W
Old Gilchrist, Mercer, 411352N, 0903730W
Chittyville, Williamson, 374946N, 0890140W
Old Kane, Greene, 391120N, 0902221W
Choat, Massac, 371248N, 0884755W
Old Kaskaskia, Randolph, 375656N, 0895519W
Choctaw, Clark, 391656N, 0874317W
Old Marissa, St Clair, 381530N, 0894515W
Chrisman, Edgar, 394813N, 0874025W
Old Mill Creek, Lake, 422519N, 0875821W
Christopher, Franklin, 375821N, 0890312W
Old Niota, Hancock, 403648N, 0911807W
Churchill, Bureau, 412315N, 0891020W
Old Pearl, Pike, 392630N, 0903853W
Churchville, Du Page, 415606N, 0875714W
Old Princeton, Cass, 395241N, 0900950W
Cicero, Cook, 415044N, 0874514W
Old Ripley, Bond, 385346N, 0893412W
Cimic, Sangamon, 393524N, 0893921W
Old Salem Chautauqua, Menard, 395932N, 0895007W
Cincinnati Landing, Pike, 393554N, 0911029W
Old Shawneetown, Gallatin, 374149N, 0880812W
Cisco, Piatt, 400041N, 0884334W
Oldenburg, Madison, 384749N, 0900605W
Cisne, Wayne, 383057N, 0882615W
Oldtown, Saline, 373608N, 0884118W
Cissna Park, Iroquois, 403353N, 0875335W
Olena, Henderson, 404708N, 0905619W
Clank, Alexander, 371118N, 0891930W
Olga, Hamilton, 375929N, 0883437W
Clare, De Kalb, 420058N, 0884945W
Olin, Peoria, 404510N, 0894606W
Claremont, Richland, 384310N, 0875817W
Olive Branch, Alexander, 371007N, 0892106W
Clarence, Ford, 402750N, 0875815W
Oliver, Edgar, 392902N, 0874053W
Clarendon Hills, Du Page, 414751N, 0875717W
Olivet, Vermilion, 395631N, 0873837W
Clarion, Bureau, 413018N, 0891131W
Olmsted, Pulaski, 371050N, 0890520W
Clark, Greene, 391535N, 0903440W
Olney, Richland, 384351N, 0880507W
Clark Center, Clark, 392145N, 0874655W
Olympia Fields, Cook, 413048N, 0874027W
Clarke City, Grundy, 410929N, 0881434W
Omaha, Gallatin, 375325N, 0881811W
Clarke City, Kankakee, 410929N, 0881434W
Omar, Johnson, 373006N, 0885807W
Clarksburg, Shelby, 391948N, 0884430W
Omega, Marion, 384216N, 0884650W
Clarksdale, Christian, 392923N, 0892204W
Onarga, Iroquois, 404254N, 0880022W
Clarksville, Clark, 392706N, 0874752W
Oneco, Stephenson, 422915N, 0893951W
Clarksville, Mclean, 403902N, 0885054W
Oneida, Knox, 410420N, 0901331W
Clarmin, Washington, 381316N, 0894158W
Ontario, Knox, 410443N, 0901827W
Claus, Will, 412211N, 0873636W
Ontarioville, Du Page, 415915N, 0880900W
Clay City, Clay, 384119N, 0882115W
Opdyke, Jefferson, 381535N, 0884726W
Clays Prairie, Edgar, 394113N, 0873348W
Ophiem, Henry, 411509N, 0902315W
Claysville, Sangamon, 395202N, 0895401W
Oquawka, Henderson, 405555N, 0905649W
Clayton, Adams, 400153N, 0905738W
Orange, Clark, 391224N, 0874917W
Claytonville, Iroquois, 403401N, 0874923W
Orange Prairie, Peoria, 404639N, 0894011W
Clear Lake, Cass, 400302N, 0901832W
Orangemans Hall, Mercer, 411849N, 0903629W
Clear Lake, Sangamon, 394849N, 0893407W
Orangeville, Stephenson, 422806N, 0893838W
Clearing, Cook, 414641N, 0874542W
Oraville, Jackson, 375154N, 0892300W
Cleburne, Franklin, 375609N, 0890313W
Orchard Mines, Peoria, 403521N, 0894040W
Clements, Morgan, 393708N, 0900903W
Orchardville, Wayne, 383023N, 0883901W
Cleone, Clark, 392523N, 0875427W
Oreana, Macon, 395619N, 0885156W
Cleveland, Henry, 413022N, 0901853W
Oregon, Ogle, 420053N, 0891956W
Cliffdale, Calhoun, 392138N, 0903735W
Orient, Franklin, 375506N, 0885839W
Clifford, Williamson, 374925N, 0890438W
Orio, Wabash, 383316N, 0874644W
Clifton, Iroquois, 405607N, 0875604W
Orion, Henry, 412117N, 0902253W
Clifton Terrace, Madison, 385546N, 0901520W
Orland Park, Cook, 413749N, 0875114W
Clinton, De Witt, 400913N, 0885752W
Orleans, Morgan, 394325N, 0900446W
Cloverdale, Du Page, 415622N, 0880713W
Ormonde, Warren, 405118N, 0903647W
Cloverdale, Tazewell, 403825N, 0893058W
Osbernville, Christian, 394540N, 0891043W
Coal City, Grundy, 411716N, 0881708W
Osborn, Rock Island, 413121N, 0901623W
Coal Hollow, Bureau, 412156N, 0892148W
Osceola, Stark, 411247N, 0894647W
Coal Valley, Rock Island, 412543N, 0902739W
Osco, Henry, 412052N, 0901649W
Coaler, Iroquois, 404450N, 0874359W
Oskaloosa, Clay, 384535N, 0883856W
Coalton, Montgomery, 391658N, 0891804W
Osman, Mclean, 401745N, 0882819W
Coalton, Vermilion, 402557N, 0873524W
Ospur, De Witt, 400519N, 0885719W
Coatsburg, Adams, 400158N, 0910927W
Oswego, Kendall, 414058N, 0882105W
Cobden, Union, 373153N, 0891512W
Ottawa, La Salle, 412044N, 0885033W
Coello (North City), Franklin, 375939N, 0890402W
Otterville, Jersey, 390302N, 0902354W
Coffeen, Montgomery, 390521N, 0892326W
Otto, Kankakee, 410250N, 0875328W
Colby Point, McHenry, 421747N, 0881424W
Ottville, Bureau, 412053N, 0891531W
Colchester, Mcdonough, 402535N, 0904733W
Owaneco, Christian, 392856N, 0891137W
Coldbrook, Warren, 405651N, 0903102W
Owen Center, Winnebago, 422206N, 0890701W
Coleman, Kane, 415843N, 0881750W
Oxville, Scott, 394217N, 0903340W
Coles, Coles, 393113N, 0882816W
Ozark, Johnson, 373233N, 0884546W
Coleta, Whiteside, 415408N, 0894808W
Paderborn, St Clair, 382137N, 0900233W
Colfax, Mclean, 403401N, 0883659W
Padua, Mclean, 402701N, 0884550W
Collins, Randolph, 380115N, 0895652W
Paineville, Williamson, 374832N, 0890006W
Collinsville, Madison, 384013N, 0895904W
Palatine, Cook, 420637N, 0880203W
Collinsville, St Clair, 384013N, 0895904W
Palermo, Edgar, 395156N, 0875251W
Collison, Vermilion, 401330N, 0874814W
