city, county, latitude, longitude
Anna, Union, 372737N, 0891449W
Litchfield, Montgomery, 391031N, 0893915W
Annapolis, Crawford, 390840N, 0874900W
Literberry, Morgan, 395115N, 0901158W
Annawan, Henry, 412350N, 0895416W
Lithia, Shelby, 392539N, 0884304W
Antioch, Lake, 422838N, 0880544W
Little America, Fulton, 402421N, 0900204W
Apple River, Jo Daviess, 423018N, 0900555W
Little Indian, Cass, 395315N, 0901204W
Applegate, Lawrence, 384734N, 0874748W
Little Rock, Kendall, 414303N, 0883434W
Appleton, Knox, 405609N, 0900939W
Little York, Warren, 410040N, 0904446W
Aptakisic, Lake, 421057N, 0875650W
Littleton, Schuyler, 401402N, 0903720W
Arbury Hills, Will, 413208N, 0875051W
Lively Grove, Washington, 381823N, 0893641W
Arcadia, Morgan, 395021N, 0901441W
Liverpool, Fulton, 402330N, 0900003W
Archer, Sangamon, 394653N, 0894409W
Livingston, Clark, 392424N, 0873846W
Archie, Vermilion, 395339N, 0874942W
Livingston, Madison, 385803N, 0894550W
Arcola, Douglas, 394105N, 0881823W
Loami, Sangamon, 394032N, 0895048W
Ardenmoor, Clark, 392157N, 0874748W
Lockhaven, Jersey, 385626N, 0901717W
Arenzville, Cass, 395237N, 0902224W
Lockport, Will, 413522N, 0880328W
Argenta, Macon, 395855N, 0884922W
Loda, Iroquois, 403103N, 0880419W
Argyle, Boone, 422136N, 0885624W
Lodemia, Livingston, 404826N, 0883357W
Argyle, Winnebago, 422136N, 0885624W
Lodge, Piatt, 400622N, 0883336W
Arlington, Bureau, 412825N, 0891457W
Log Cabin Camp, Kankakee, 410942N, 0873456W
Arlington Heights, Cook, 420518N, 0875850W
Logan, Edgar, 394414N, 0873618W
Arlington Heights, Sangamon, 394911N, 0893605W
Lomax, Henderson, 404044N, 0910422W
Armington, Tazewell, 402020N, 0891841W
Lombard, Du Page, 415248N, 0880028W
Armstrong, Vermilion, 401823N, 0875240W
Lombardville, Stark, 411316N, 0893930W
Arnold, Carroll, 421012N, 0901335W
London Mills, Fulton, 404238N, 0901558W
Arnold, Morgan, 394316N, 0900842W
Lone Tree, Henderson, 405013N, 0910105W
Aroma Park, Kankakee, 410447N, 0874841W
Long Branch, Mason, 401302N, 0900216W
Arpee, Mercer, 411059N, 0905649W
Long Branch, Saline, 375306N, 0883438W
Arrowsmith, Mclean, 402658N, 0883754W
Long Creek, Macon, 394843N, 0885051W
Arthur, Douglas, 394253N, 0882820W
Long Grove, Lake, 421042N, 0875952W
Ashdale Junction, Carroll, 420506N, 0895528W
Long Lake, Lake, 422247N, 0880705W
Ashkum, Iroquois, 405249N, 0875718W
Long Lake, Lake, 422215N, 0880739W
Ashland, Cass, 395316N, 0900028W
Long Point, Livingston, 410017N, 0885330W
Ashley, Washington, 381946N, 0891127W
Long Shore Park, Peoria, 404522N, 0893339W
Ashmore, Coles, 393159N, 0880120W
Longview, Champaign, 395312N, 0880359W
Ashton, Lee, 415158N, 0891316W
Loogootee, Fayette, 385417N, 0885113W
Assumption, Christian, 393113N, 0890256W
Loon Lake, Lake, 422649N, 0880524W
Astoria, Fulton, 401339N, 0902134W
Loose Pulley Junction, Ogle, 420734N, 0891326W
Athens, Menard, 395739N, 0894326W
Loraine, Adams, 400915N, 0911320W
Athensville, Greene, 392720N, 0901121W
Loran, Stephenson, 421406N, 0895437W
Atkinson, Henry, 412515N, 0900054W
Lorenzo, Will, 412050N, 0881256W
Atlanta, Logan, 401534N, 0891400W
Loretto, Livingston, 405840N, 0882605W
Atlas, Pike, 393050N, 0905810W
Lostant, La Salle, 410834N, 0890336W
Atterberry, Menard, 400339N, 0895525W
Lotus, Champaign, 401908N, 0882721W
Attila, Williamson, 374611N, 0884616W
Lotus Woods, Lake, 422519N, 0881023W
Atwater, Macoupin, 391958N, 0894330W
Louisville, Clay, 384620N, 0883009W
Atwood, Douglas, 394758N, 0882744W
Love, Bureau, 413409N, 0894821W
Auburn, Sangamon, 393530N, 0894447W
Loves Corner, Hardin, 372944N, 0881014W
Auer Landing, Calhoun, 385405N, 0903122W
Loves Park, Winnebago, 421912N, 0890329W
Augerville, Champaign, 400823N, 0881018W
Lovilla, Hamilton, 380924N, 0884000W
Augsburg, Fayette, 385200N, 0890048W
Lovington, Moultrie, 394256N, 0883757W
Augusta, Hancock, 401348N, 0905700W
Low Point, Woodford, 405221N, 0891848W
Aurora, Kane, 414538N, 0881912W
Lowder, Sangamon, 393303N, 0895045W
Aux Sable, Grundy, 412341N, 0881943W
Lowell, La Salle, 411502N, 0890038W
Ava, Jackson, 375318N, 0892941W
Loxa, Coles, 392950N, 0881602W
Avena, Fayette, 390027N, 0885540W
Lucas, Logan, 401824N, 0892203W
Avery Hill, St Clair, 383311N, 0900137W
Ludlow, Mclean, 402313N, 0880739W
Aviston, Clinton, 383624N, 0893627W
Lumaghi Heights, Madison, 384013N, 0895652W
Avon, Fulton, 403951N, 0902605W
Lusk, Pope, 372858N, 0882827W
Ayers, Bond, 385749N, 0892707W
Luther, Mason, 401136N, 0893911W
Ayers, Carroll, 420314N, 0900656W
Lyndon, Whiteside, 414303N, 0895533W
Babylon, Fulton, 403527N, 0902057W
Lynn Center, Henry, 411745N, 0902128W
Bader, Schuyler, 401023N, 0902207W
Lynnville, Morgan, 394113N, 0902045W
Baileyville, Ogle, 421150N, 0893536W
Lynwood, Cook, 413135N, 0873219W
Baker, La Salle, 413320N, 0884840W
Lyons, Cook, 414848N, 0874905W
Bakerville, Jefferson, 381530N, 0885351W
Mabel, Edgar, 395235N, 0874132W
Balcom, Union, 372447N, 0891222W
Macedonia, Franklin, 380307N, 0884219W
Bald Bluff, Henderson, 410107N, 0905113W
Macedonia, Hamilton, 380307N, 0884219W
Bald Mound, Kane, 415046N, 0882423W
Mackinaw, Tazewell, 403213N, 0892127W
Baldwin, Randolph, 381059N, 0895033W
Mackinaw Dells, Woodford, 403726N, 0891351W
Baldwin Beach, Mason, 402045N, 0900155W
Macomb, Mcdonough, 402733N, 0904018W
Baldwin Heights, Jefferson, 382659N, 0890841W
Macon, Macon, 394246N, 0885949W
Baldwin Heights, Washington, 382659N, 0890841W
Macoupin, Macoupin, 391248N, 0895726W
Ballou, Will, 411639N, 0880607W
Madison, Madison, 384057N, 0900925W
Banklick, Williamson, 374938N, 0884208W
Madonnaville, Monroe, 381554N, 0901448W
Banner, Fulton, 403101N, 0895430W
Maeystown, Monroe, 381329N, 0901400W
Bannockburn, Lake, 421136N, 0875159W
Magnet, Coles, 392621N, 0882352W
Barbers Corners, Will, 414239N, 0880406W
Magnolia, Putnam, 410649N, 0891140W
Barclay, Sangamon, 395229N, 0893104W
Mahomet, Champaign, 401143N, 0882415W
Bardolph, Mcdonough, 402942N, 0903352W
Maizetown, Vermilion, 395715N, 0874816W
Barlow Park, Vermilion, 401834N, 0873723W
Makanda, Jackson, 373703N, 0891232W
Barnes, Mclean, 403010N, 0885406W
Malden, Bureau, 412528N, 0892209W
Barnett, Madison, 385116N, 0895304W
Malta, De Kalb, 415547N, 0885139W
Barnett, Montgomery, 391552N, 0894150W
Malvern, Whiteside, 415119N, 0895312W
Barney Ford, Coles, 393307N, 0880607W
Manchester, Scott, 393232N, 0901956W
Barnhill, Wayne, 381704N, 0882151W
Manhattan, Will, 412521N, 0875909W
Barr, Macoupin, 392417N, 0900615W
Manito, Mason, 402533N, 0894645W
Barr, Sangamon, 395743N, 0894149W
Manley, Fulton, 403502N, 0902532W
Barreville, McHenry, 421632N, 0881545W
Manlius, Bureau, 412723N, 0894008W
Barrington, Cook, 420914N, 0880810W
Mannon, Mercer, 411352N, 0905724W
Barrington, Lake, 420914N, 0880810W
Mansfield, Piatt, 401241N, 0883022W
Barrington Center, Kane, 420638N, 0881139W
Manson Ford, Pope, 372703N, 0883403W
Barrington Hills, Cook, 420841N, 0880920W
Manteno, Kankakee, 411502N, 0874953W
Barrington Hills, Kane, 420841N, 0880920W
Manville, Livingston, 410318N, 0884558W
Barrington Hills, McHenry, 421007N, 0881527W
Maple, Madison, 385137N, 0895235W
Barrington Woods, Cook, 420908N, 0880321W
Maple Grove, Edwards, 383200N, 0880538W
Barrow, Greene, 393022N, 0902405W
Maple Park, Kane, 415427N, 0883557W
Barry, Pike, 394139N, 0910220W
